Method,Confidence_Drop_Top20pct,Average_Drop,Incr_Conf_pct,Cosine_Sim
GradCAM,50.06444834836293,54.78345485523548,3.0,0.7163797616958618
GradCAM++,49.88718016591156,54.38665124967777,3.0,0.7286803275346756
ScoreCAM,50.12244821985951,54.70507824740991,2.5,0.7114153057336807
