Method,CNV,DME,DRUSEN,NORMAL
GradCAM,0.6802985668182373,0.702168345451355,0.7193084359169006,0.7637436985969543
GradCAM++,0.7000821232795715,0.7079259753227234,0.7415367364883423,0.7651764750480652
ScoreCAM,0.6864986419677734,0.6699181199073792,0.7270968556404114,0.7621476054191589
