target,qhat,mean_size,coverage,n_multi,pct_multi
0.9,0.05681166,0.9059660213354406,0.9004346108257606,0,0.0
0.95,0.17181985,0.9602923745555116,0.9502173054128803,0,0.0
0.97,0.33840245,0.9861714737258,0.9668115369419202,0,0.0
0.99,0.88083756,1.057882259976294,0.9922955353615172,293,5.788225997629396
