true_cls_nm,mean_set_size,coverage,n_multi,n_total,pct_multi
CNV,1.0320569902048085,0.9968833481745325,72,2246,3.2056990204808544
DME,1.0259365994236311,0.9927953890489913,18,694,2.5936599423631126
DRUSEN,1.2457466918714555,0.9678638941398866,130,529,24.574669187145556
NORMAL,1.0458254865034526,0.9937225360954175,73,1593,4.58254865034526
