global_idx,label,cls,method,layer,confidence_drop_top20pct,avg_drop,incr_conf,orig_prob,masked_prob
357,0,CNV,GradCAM,CBAM1,90.0288887321949,92.13726465264091,0.0,0.9771170020103455,0.07682811468839645
357,0,CNV,GradCAM++,CBAM1,94.2483626306057,96.45555391231672,0.0,0.9771170020103455,0.03463337570428848
357,0,CNV,GradCAM,CBAM2,30.437922477722168,31.1507445920918,0.0,0.9771170020103455,0.6727377772331238
357,0,CNV,GradCAM++,CBAM2,26.824885606765747,27.45309443704756,0.0,0.9771170020103455,0.708868145942688
357,0,CNV,ScoreCAM,CBAM2,31.010758876800537,31.736996179196808,0.0,0.9771170020103455,0.6670094132423401
380,0,CNV,GradCAM,CBAM1,8.743375539779663,8.755284719687399,0.0,0.9986397624015808,0.9112060070037842
380,0,CNV,GradCAM++,CBAM1,13.659346103668213,13.677951230421664,0.0,0.9986397624015808,0.8620463013648987
380,0,CNV,GradCAM,CBAM2,6.264621019363403,6.273153936476931,0.0,0.9986397624015808,0.9359935522079468
380,0,CNV,GradCAM++,CBAM2,5.575436353683472,5.583030545914842,0.0,0.9986397624015808,0.9428853988647461
380,0,CNV,ScoreCAM,CBAM2,6.706595420837402,6.715730342592938,0.0,0.9986397624015808,0.9315738081932068
478,0,CNV,GradCAM,CBAM1,0.5273759365081787,0.5281461199738422,0.0,0.9985417127609253,0.9932679533958435
478,0,CNV,GradCAM++,CBAM1,16.79413914680481,16.818665423783926,0.0,0.9985417127609253,0.8306003212928772
478,0,CNV,GradCAM,CBAM2,9.121668338775635,9.134989686314368,0.0,0.9985417127609253,0.907325029373169
478,0,CNV,GradCAM++,CBAM2,7.751572132110596,7.762892581671829,0.0,0.9985417127609253,0.9210259914398193
478,0,CNV,ScoreCAM,CBAM2,7.708221673965454,7.719478814217746,0.0,0.9985417127609253,0.9214594960212708
496,0,CNV,GradCAM,CBAM1,17.544013261795044,17.74212760983656,0.0,0.9888336658477783,0.8133935332298279
496,0,CNV,GradCAM++,CBAM1,76.14895552396774,77.00886143332578,0.0,0.9888336658477783,0.2273441106081009
496,0,CNV,GradCAM,CBAM2,53.628918528556824,54.234518745104396,0.0,0.9888336658477783,0.4525444805622101
496,0,CNV,GradCAM++,CBAM2,24.258553981781006,24.53249173677554,0.0,0.9888336658477783,0.7462481260299683
496,0,CNV,ScoreCAM,CBAM2,42.58915185928345,43.07008640534978,0.0,0.9888336658477783,0.5629421472549438
515,0,CNV,GradCAM,CBAM1,3.2453179359436035,3.254332425882916,0.0,0.9972299933433533,0.9647768139839172
515,0,CNV,GradCAM++,CBAM1,93.44948157668114,93.70905534668898,0.0,0.9972299933433533,0.0627351775765419
515,0,CNV,GradCAM,CBAM2,4.899919033050537,4.913529493319366,0.0,0.9972299933433533,0.9482308030128479
515,0,CNV,GradCAM++,CBAM2,5.06436824798584,5.078435497334452,0.0,0.9972299933433533,0.9465863108634949
515,0,CNV,ScoreCAM,CBAM2,7.0864856243133545,7.106169690597874,0.0,0.9972299933433533,0.9263651371002197
524,0,CNV,GradCAM,CBAM1,2.4768710136413574,2.700389962629913,0.0,0.9172271490097046,0.892458438873291
524,0,CNV,GradCAM++,CBAM1,4.890954494476318,5.33232629063982,0.0,0.9172271490097046,0.8683176040649414
524,0,CNV,GradCAM,CBAM2,91.53298831079155,99.79315092415739,0.0,0.9172271490097046,0.0018972659017890692
524,0,CNV,GradCAM++,CBAM2,91.4725378388539,99.7272452525428,0.0,0.9172271490097046,0.002501770621165633
524,0,CNV,ScoreCAM,CBAM2,91.10865141265094,99.33052081778465,0.0,0.9172271490097046,0.006140634883195162
715,0,CNV,GradCAM,CBAM1,19.761472940444946,22.373367366615092,0.0,0.8832587599754333,0.6856440305709839
