Metric,Before_TS,After_TS
Accuracy,0.9754150197628458,0.9754150197628458
ECE,0.027151456849848297,0.004362391002564542
MCE,0.45613574981689453,0.26501739025115967
Brier,0.03952840343117714,0.03747094050049782
NLL,0.09093525260686874,0.07798294723033905
