threshold,coverage,accuracy
8.284814612125047e-06,7.905138339920949e-05,1.0
0.019218955782720114,0.03723320158102767,0.9957537154989384
0.0384296267508281,0.11612648221343874,0.998638529611981
0.05764029771893609,0.1976284584980237,0.9992
0.07685096868704408,0.27802371541501975,0.9994313335228888
0.09606163965515208,0.35177865612648224,0.9993258426966292
0.11527231062326006,0.4184189723320158,0.998488569809182
0.13448298159136804,0.4826877470355731,0.9985260399606944
0.15369365255947603,0.5396837944664031,0.9983887505492895
0.17290432352758403,0.5923320158102767,0.9983985052715868
0.19211499449569203,0.6423715415019763,0.9981540733448191
0.2113256654638,0.6870355731225296,0.9978138303992636
0.230536336431908,0.7260869565217392,0.9976047904191617
0.24974700740001599,0.7578656126482214,0.9971836862417858
0.26895767836812395,0.786403162055336,0.996984318455971
0.288168349336232,0.8124901185770751,0.9967892586106246
0.30737902030433994,0.8328853754940712,0.9967729688686409
0.3265896912724479,0.8516205533596838,0.9962870138308735
0.34580036224055594,0.8670355731225297,0.9958971553610503
0.3650110332086639,0.8800790513833993,0.9954190245216923
0.3842217041767719,0.8913043478260869,0.9949445676274945
0.4034323751448799,0.9011067193675889,0.9941222914290727
0.42264304611298786,0.9105138339920948,0.9936620941135614
0.4418537170810959,0.9179446640316206,0.993368928694454
0.46106438804920385,0.9245059288537549,0.9928174433518597
0.4802750590173118,0.9309090909090909,0.9923573369565217
0.49948572998541985,0.9358893280632411,0.9919756736210829
0.5186964009535279,0.9405533596837945,0.9915952260884182
0.5379070719216358,0.9450592885375494,0.991133416980343
0.5571177428897438,0.9512252964426877,0.9906922629435718
0.5763284138578518,0.9572332015810276,0.9896770996779255
0.5955390848259597,0.9622134387351778,0.9888268156424581
0.6147497557940678,0.9673517786561265,0.9874152161477486
0.6339604267621758,0.9719367588932807,0.9864985766571777
0.6531710977302837,0.97699604743083,0.9846265879116434
0.6723817686983917,0.9812648221343874,0.9833239345847096
0.6915924396664997,0.9860079051383399,0.981640343141185
0.7108031106346077,0.9918577075098814,0.9792779150394516
0.7300137816027157,0.9958893280632412,0.9777742498809335
0.7492244525708237,0.9974703557312253,0.9769377080361389
0.7684351235389317,0.9980237154150198,0.9765544554455445
0.7876457945070396,0.9985770750988142,0.9763299556681444
0.8068564654751477,0.9989723320158103,0.9759436575136504
0.8260671364432557,0.9990513833992095,0.9759455610064883
0.8452778074113636,0.9991304347826087,0.975947464198117
0.8644884783794716,0.9992885375494072,0.9759512696780318
0.8836991493475796,0.9992885375494072,0.9759512696780318
0.9029098203156876,0.9993675889328063,0.975953171966461
0.9221204912837956,0.999604743083004,0.9758007117437723
0.9413311622519036,0.999604743083004,0.9758007117437723
0.9605418332200115,0.999604743083004,0.9758007117437723
0.9797525041881195,0.999604743083004,0.9758007117437723
0.9989631751562276,0.999604743083004,0.9758007117437723
1.0181738461243355,0.9997628458498024,0.9757254684905511
1.0373845170924436,0.9998418972332016,0.9756483238456674
1.0565951880605515,0.9998418972332016,0.9756483238456674
1.0758058590286594,0.9999209486166007,0.9755711913985295
1.0950165299967676,0.9999209486166007,0.9755711913985295
1.1142272009648755,0.9999209486166007,0.9755711913985295
1.1334378719329834,1.0,0.9754940711462451
