Method,Class,Confidence_Drop_Top20pct,Average_Drop,Cosine_Sim
GradCAM,CNV,41.622003566939384,42.63762387659482,0.6802985668182373
GradCAM,DME,47.9337667375803,49.81845683211971,0.702168345451355
GradCAM,DRUSEN,76.45000383909792,89.1207761344427,0.7193084359169006
GradCAM,NORMAL,34.25201924983412,37.55696257778468,0.7637436985969543
GradCAM++,CNV,40.90626147435978,41.92123356814932,0.7000821232795715
GradCAM++,DME,49.061104683205485,51.95352457499206,0.7079259753227234
GradCAM++,DRUSEN,75.56224311958067,86.81312830915085,0.7415367364883423
GradCAM++,NORMAL,34.0191113865003,36.85871854641885,0.7651764750480652
ScoreCAM,CNV,41.79813008289784,42.828259564037516,0.6864986419677734
ScoreCAM,DME,48.62720284983516,51.27305761630475,0.6699181199073792
ScoreCAM,DRUSEN,75.77923641563393,87.14700631661304,0.7270968556404114
ScoreCAM,NORMAL,34.2852235310711,37.57198949268432,0.7621476054191589
