threshold,coverage,accuracy
0.0384296267508281,0.003028009084027252,1.0
0.05764029771893609,0.01514004542013626,1.0
0.07685096868704408,0.02498107494322483,1.0
0.09606163965515208,0.04012112036336109,0.9811320754716981
0.11527231062326006,0.05980317940953823,0.9620253164556962
0.13448298159136804,0.08705526116578349,0.9739130434782609
0.15369365255947603,0.11809235427706283,0.967948717948718
0.17290432352758403,0.1461014383043149,0.9740932642487047
0.19211499449569203,0.17335352006056018,0.9737991266375546
0.2113256654638,0.23088569265707798,0.9704918032786886
0.230536336431908,0.2664647993943982,0.9715909090909091
0.24974700740001599,0.29901589704769116,0.9696202531645569
0.26895767836812395,0.33383800151400456,0.9705215419501134
0.288168349336232,0.3679031037093111,0.9732510288065843
0.30737902030433994,0.408781226343679,0.9740740740740741
0.3265896912724479,0.4466313398940197,0.9694915254237289
0.34580036224055594,0.48599545798637395,0.9688473520249221
0.3650110332086639,0.5193035579106737,0.967930029154519
0.3842217041767719,0.5541256623769871,0.9658469945355191
0.4034323751448799,0.5927327781983346,0.9616858237547893
0.42264304611298786,0.6245268735806208,0.9612121212121212
0.4418537170810959,0.6563209689629069,0.9596309111880046
0.46106438804920385,0.6866010598031794,0.9570011025358324
0.4802750590173118,0.7138531415594247,0.9565217391304348
0.49948572998541985,0.7388342165026495,0.9569672131147541
0.5186964009535279,0.7577592732778198,0.957042957042957
0.5379070719216358,0.7781983345950038,0.9571984435797666
0.5571177428897438,0.8062074186222559,0.955868544600939
0.5763284138578518,0.8357305071915215,0.9547101449275363
0.5955390848259597,0.8569265707797123,0.9558303886925795
0.6147497557940678,0.8811506434519304,0.9527491408934707
0.6339604267621758,0.9008327024981075,0.9495798319327731
0.6531710977302837,0.9144587433762301,0.9470198675496688
0.6723817686983917,0.9295987887963664,0.9454397394136808
0.6915924396664997,0.9454958364875095,0.9431545236188951
0.7108031106346077,0.9704769114307343,0.9344773790951638
0.7300137816027157,0.9894019682059046,0.9296097934200459
0.7492244525708237,0.9939439818319455,0.9276466108149276
0.7684351235389317,0.9939439818319455,0.9276466108149276
0.7876457945070396,0.9954579863739591,0.9262357414448669
0.8068564654751477,0.9977289931869796,0.9241274658573596
0.8260671364432557,0.9977289931869796,0.9241274658573596
0.8452778074113636,0.9977289931869796,0.9241274658573596
0.8644884783794716,0.9977289931869796,0.9241274658573596
0.8836991493475796,0.9977289931869796,0.9241274658573596
0.9029098203156876,0.9977289931869796,0.9241274658573596
0.9221204912837956,0.9984859954579863,0.9234268385140257
0.9413311622519036,0.9984859954579863,0.9234268385140257
0.9605418332200115,0.9984859954579863,0.9234268385140257
0.9797525041881195,0.9984859954579863,0.9234268385140257
0.9989631751562276,0.9984859954579863,0.9234268385140257
1.0181738461243355,0.9992429977289932,0.9227272727272727
1.0373845170924436,0.9992429977289932,0.9227272727272727
1.0565951880605515,0.9992429977289932,0.9227272727272727
1.0758058590286594,0.9992429977289932,0.9227272727272727
1.0950165299967676,0.9992429977289932,0.9227272727272727
1.1142272009648755,0.9992429977289932,0.9227272727272727
1.1334378719329834,1.0,0.9220287660862982
