,CNV,DME,DRUSEN,NORMAL
CNV,0.12361212819814682,0.5460706353187561,0.5904898047447205,0.6138173341751099
DME,0.48206865787506104,0.11363212019205093,0.6078723669052124,0.5475540161132812
DRUSEN,0.5403717756271362,0.5873971581459045,0.3581811189651489,0.5322040319442749
NORMAL,0.6586848497390747,0.587364673614502,0.6153189539909363,0.2177179753780365
