Class,N,Entropy_vs_SetSize_r,Entropy_vs_SetSize_p,Entropy_vs_Loc_r,Entropy_vs_Loc_p,SetSize_vs_Loc_r,SetSize_vs_Loc_p
CNV,2246,0.6858399392288078,4.800237323064e-312,0.006594856856358792,0.7547572588469064,-0.014519228585741043,0.4916113476267109
DME,694,0.6675711624007249,1.0125088442984766e-90,-0.07316823796660193,0.054024066025728304,-0.028395863241330668,0.4551484779948114
DRUSEN,529,0.7833353025369064,6.705662417188431e-111,-0.06013789310497676,0.16723287824684627,-0.013965625296557786,0.7486157197192521
NORMAL,1593,0.6855808832499429,1.2952098719818017e-221,-0.07034120763148767,0.00497323218573416,-0.03329345106747711,0.18412962266383834
