threshold,coverage,accuracy
0.0384296267508281,0.00276312484300427,1.0
0.05764029771893609,0.012057272042200452,1.0
0.07685096868704408,0.039939713639788994,1.0
0.09606163965515208,0.08841999497613665,1.0
0.11527231062326006,0.15297663903541825,0.9967159277504105
0.13448298159136804,0.22933936196935442,0.9978094194961665
0.15369365255947603,0.31122833458929916,0.9983857949959645
0.17290432352758403,0.3948756593820648,0.9987277353689568
0.19211499449569203,0.48681235870384326,0.9989680082559339
0.2113256654638,0.5616679226325044,0.9991055456171736
0.230536336431908,0.6307460437076111,0.9992035045798486
0.24974700740001599,0.6892740517457925,0.999271137026239
0.26895767836812395,0.741271037427782,0.9993222636394442
0.288168349336232,0.7900025119316755,0.9993640699523052
0.30737902030433994,0.8256719417231851,0.9993915424399148
0.3265896912724479,0.8573222808339613,0.9994140052739525
0.34580036224055594,0.8814368249183622,0.9988600740951838
0.3650110332086639,0.8995227329816629,0.9986037419715164
0.3842217041767719,0.9155990957045969,0.9983539094650206
0.4034323751448799,0.9253956292388847,0.998099891422367
0.42264304611298786,0.9354433559407184,0.9978517722878625
0.4418537170810959,0.9412207987942728,0.9978649586335735
0.46106438804920385,0.9467470484802814,0.9976120986999204
0.4802750590173118,0.9510173323285607,0.9976228209191759
0.49948572998541985,0.953529264004019,0.9976290832455216
0.5186964009535279,0.9570459683496609,0.9973753280839895
0.5379070719216358,0.9598090931926652,0.9965977492802931
0.5571177428897438,0.9660889223813113,0.9958398335933437
0.5763284138578518,0.9701080130620447,0.9950802692905231
0.5955390848259597,0.9736247174076865,0.9945820433436533
0.6147497557940678,0.9761366490831449,0.9940813175501801
0.6339604267621758,0.9781461944235117,0.9938366718027735
0.6531710977302837,0.9829188646068827,0.9923332481472016
0.6723817686983917,0.9849284099472494,0.991583779648049
0.6915924396664997,0.9881939211253454,0.9900864260294865
0.7108031106346077,0.9932177844762623,0.9878603945371776
0.7300137816027157,0.9969856819894499,0.9863945578231292
0.7492244525708237,0.9979904546596332,0.9859048577900831
0.7684351235389317,0.9982416478271791,0.9859084046300957
0.7876457945070396,0.9992464204973625,0.9856711915535445
0.8068564654751477,0.9992464204973625,0.9856711915535445
0.8260671364432557,0.9994976136649083,0.9856747926614727
0.8452778074113636,0.9997488068324542,0.985678391959799
0.8644884783794716,1.0,0.9856819894498869
0.8836991493475796,1.0,0.9856819894498869
0.9029098203156876,1.0,0.9856819894498869
0.9221204912837956,1.0,0.9856819894498869
0.9413311622519036,1.0,0.9856819894498869
0.9605418332200115,1.0,0.9856819894498869
0.9797525041881195,1.0,0.9856819894498869
0.9989631751562276,1.0,0.9856819894498869
1.0181738461243355,1.0,0.9856819894498869
1.0373845170924436,1.0,0.9856819894498869
1.0565951880605515,1.0,0.9856819894498869
1.0758058590286594,1.0,0.9856819894498869
1.0950165299967676,1.0,0.9856819894498869
1.1142272009648755,1.0,0.9856819894498869
1.1334378719329834,1.0,0.9856819894498869
