,precision,recall,f1-score,support
CNV,0.9884933477166487,0.9793373708585679,0.9838940586972083,5614.0
DME,0.9561057962858751,0.9798154555940023,0.9678154371973796,1734.0
DRUSEN,0.925531914893617,0.9220287660862982,0.9237770193401593,1321.0
NORMAL,0.9822277847309137,0.9856819894498869,0.9839518555667001,3981.0
accuracy,0.9754150197628458,0.9754150197628458,0.9754150197628458,0.9754150197628458
macro avg,0.9630897109067637,0.9667158954971888,0.9648595927003617,12650.0
weighted avg,0.9755071601129809,0.9754150197628458,0.9754304342439342,12650.0
