Pair,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Entropy vs. Conformal Set Size,0.7833353025369064,6.705662417188431e-111,0.73715997418867,9.100840074736226e-92
Entropy vs. Localization Score,-0.06013789310497676,0.16723287824684627,-0.05930730934561637,0.17318510483325464
Conformal Set Size vs. Localization Score,-0.013965625296557786,0.7486157197192521,-0.035768277588362804,0.4116536358581452
